date,batch,submission,public_score,notes
2026-05-05,round1,s01_sohail_direct,0.95402,strong public notebook output
2026-05-05,round1,s05_nina_sohail_rank_5050,0.95402,rank blend
2026-05-05,round1,s06_public_strong_rank,0.95403,best of first recorded batch
2026-05-06,round2,best_round2,0.95368,no improvement over round1 best
2026-05-07,round3,u01_flexon_tb,0.95410,Flexon blender family
2026-05-07,round3,u02_flexon_h01,0.95410,Flexon blender family
2026-05-07,round3,u03_flexon_h02,0.95410,Flexon blender family
2026-05-07,round3,u04_flexon_t95,0.95410,Flexon blender family
2026-05-07,round3,u05_flexon_t85,0.95411,current best
2026-05-07,round3,u06_flexon_hm1,0.95408,secondary candidate
2026-05-07,round3,u07_flexon_hm2,0.95409,secondary candidate
2026-05-07,round3,u08_nina_hb4,0.95409,secondary candidate
2026-05-07,round3,u09_sohail_95407,0.95407,secondary candidate
2026-05-07,round3,u10_mikhail_updated,0.95347,not a primary anchor
2026-05-08,round4,v01_sohail_95411_direct,0.95411,tied previous best
2026-05-08,round4,v02_deep_95411_direct,0.95404,weaker than title score
2026-05-08,round4,v03_abhishek_95410_direct,0.94810,exclude from blends
2026-05-08,round4,v04_mikhail_0508_direct,0.95347,repeat direct-output failure
2026-05-08,round4,v05_flex_t925_direct,0.95410,no improvement over t85
2026-05-08,round4,v06_flex_t975_direct,0.95409,no improvement over t85
2026-05-08,round4,v07_flex_a40_direct,0.95409,no improvement over t85
2026-05-08,round4,v08_flex_a60_direct,0.95409,no improvement over t85
2026-05-08,round4,v09_rank_t85_sohail_deep,0.95412,current best
2026-05-08,round4,v10_rank_t85_tb_sohail_t925,0.95411,tied previous best
2026-05-11,round5,w01_flex_s19_direct,0.95419,current best
2026-05-11,round5,w02_flex_d02_direct,0.95419,tied s19 anchor
2026-05-11,round5,w03_flex_rtb02_direct,0.95419,tied s19 anchor
2026-05-11,round5,w04_flex_cs02_direct,0.95419,tied s19 anchor
2026-05-11,round5,w05_raunak_log_s11_direct,0.95419,tied s19 anchor
2026-05-11,round5,w06_raunak_geo_s11_direct,0.95419,tied s19 anchor
2026-05-11,round5,w07_nina_hb5_direct,0.95419,tied s19 anchor
2026-05-11,round5,w08_abd_s18_direct,0.95418,slightly below s19
2026-05-11,round5,w09_masaya_mlp32_direct,0.95405,CV did not transfer to public LB
2026-05-11,round5,w10_rank_s19_masaya_gkanamoto,0.95419,tied s19 anchor
2026-05-12,round6,x01_flex_ex02_direct,0.95419,tied s19 anchor
2026-05-12,round6,x02_flex_cdn02_direct,0.95419,tied s19 anchor
2026-05-12,round6,x03_flex_cup02_direct,0.95419,tied s19 anchor
2026-05-12,round6,x04_flex_d01_direct,0.95419,tied s19 anchor
2026-05-12,round6,x05_rank_s19_nina_geo,0.95419,conservative tied-family rank blend
2026-05-12,round6,x06_rank_s19_log_geo_nina,0.95419,conservative tied-family rank blend
2026-05-12,round6,x07_mikhail_0512_direct,0.95347,exclude as direct anchor
2026-05-12,round6,x08_flex_rs11_direct,0.95419,tied s19 anchor
2026-05-12,round6,x09_flex_t02_direct,0.95419,tied s19 anchor
2026-05-12,round6,x10_raunak_log_tb_direct,0.95419,tied s19 anchor
2026-05-13,round7,y01_raunak_pow_tb_direct,0.95419,tied s19 anchor
2026-05-13,round7,y02_raunak_log_s18_direct,0.95419,tied s19 anchor
2026-05-13,round7,y03_arun_blend_direct,0.95416,below anchor despite high correlation
2026-05-13,round7,y04_simarbir_direct,0.95259,exclude as direct anchor
2026-05-13,round7,y05_degnonguidi12_direct,0.94302,exclude as direct anchor
2026-05-13,round7,y06_anthony_res_direct,0.95419,tied s19 anchor
2026-05-13,round7,y07_rank_s19_arun_80_20,0.95419,tiny Arun blend preserved anchor
2026-05-13,round7,y11_rank_s19_joseph_97_03,0.95416,small Joseph blend hurt
2026-05-13,round7,y12_rank_s19_nikita_97_03,0.95417,small Nikita blend hurt
2026-05-13,round7,y13_rank_s19_sarvesh_99_01,0.95419,tiny Sarvesh blend preserved anchor
2026-05-16,round8,z01_raunak_s37_direct,0.95437,new s37 anchor
2026-05-16,round8,z02_raunak_ex35_direct,0.95437,tied s37 anchor
2026-05-16,round8,z03_raunak_c35_direct,0.95437,tied s37 anchor
